f,neff(real),neff(imag),loss,beta(real),beta(imag),overlap,vg,D
1.998616386667e+14,2.505504690001e+00,1.299802360082e-09,4.729118946035e-02,1.049503350352e+07,5.444599394068e-03,9.999999765896e-01,7.139483117025e+07,4.795125842273e-04
1.984737106204e+14,2.493656311563e+00,1.289378015745e-09,4.658613948998e-02,1.037286561023e+07,5.363427516489e-03,9.999999758330e-01,7.136940386106e+07,4.645279766578e-04
1.970857825741e+14,2.481630398885e+00,1.279014411404e-09,4.588853642930e-02,1.025065370249e+07,5.283112996071e-03,9.999999750308e-01,7.134343808442e+07,4.739752330056e-04
1.956978545278e+14,2.469422971249e+00,1.268711973346e-09,4.519834942482e-02,1.012839694608e+07,5.203652280677e-03,9.999999741794e-01,7.131707607310e+07,4.807654546858e-04
1.943099264815e+14,2.457029997683e+00,1.258471213593e-09,4.451555022489e-02,1.000609476530e+07,5.125042117712e-03,9.999999732748e-01,7.129047921502e+07,4.685197584011e-04
1.929219984352e+14,2.444447403462e+00,1.248292733522e-09,4.384011319857e-02,9.883746876550e+06,5.047279556310e-03,9.999999723127e-01,7.126383013002e+07,4.731375798352e-04
1.915340703889e+14,2.431671077156e+00,1.238177236990e-09,4.317201568037e-02,9.761353323036e+06,4.970361987006e-03,9.999999712885e-01,7.123733343378e+07,4.493454017125e-04
1.901461423426e+14,2.418696879811e+00,1.228125533621e-09,4.251123795447e-02,9.638914516627e+06,4.894287139934e-03,9.999999701971e-01,7.121120450787e+07,4.339445880054e-04
1.887582142963e+14,2.405520655104e+00,1.218138552551e-09,4.185776359357e-02,9.516431282093e+06,4.819053123831e-03,9.999999690329e-01,7.118570208755e+07,4.317361936907e-04
1.873702862500e+14,2.392138241369e+00,1.208217353362e-09,4.121157968073e-02,9.393904906822e+06,4.744658451579e-03,9.999999677899e-01,7.116111913403e+07,3.943766249996e-04

