

wavelength(nm), Y
1600, -26.0704
1599.99, -28.4954
1599.98, -32.3657
1599.97, -37.6222
1599.96, -35.9677
1599.95, -31.2126
1599.94, -28.0952
1599.93, -26.0575
1599.91, -24.7138
1599.9, -23.8943
1599.89, -23.5443
1599.88, -23.6801
1599.87, -24.3701
1599.86, -25.7333
1599.85, -27.9736
1599.84, -31.4869
1599.83, -36.7165
1599.82, -37.6246
1599.81, -32.5284
1599.8, -28.9296
1599.79, -26.5623
1599.78, -24.9778
1599.77, -23.9808
1599.75, -23.5063
1599.74, -23.5581
1599.73, -24.179
1599.72, -25.4459
1599.71, -27.5027
1599.7, -30.6603
1599.69, -35.4842
1599.68, -38.7706
1599.67, -33.8259
1599.66, -29.6777
1599.65, -26.9548
1599.64, -25.1372
1599.63, -23.9906
1599.62, -23.4264
1599.61, -23.4206
1599.59, -23.9788
1599.58, -25.1356
1599.57, -26.9889
1599.56, -29.7871
1599.55, -34.0741
1599.54, -38.8811
1599.53, -35.0745
1599.52, -30.3399
1599.51, -27.2465
1599.5, -25.2151
1599.49, -23.9496
1599.48, -23.3191
1599.47, -23.2584
1599.46, -23.7344
1599.45, -24.75
1599.43, -26.3754
1599.42, -28.817
1599.41, -32.5561
1599.4, -37.8114
1599.39, -36.2605
1599.38, -30.9829
1599.37, -27.507
1599.36, -25.2783
1599.35, -23.9104
1599.34, -23.2121
1599.33, -23.074
1599.32, -23.4335
1599.31, -24.2766
1599.3, -25.6604
1599.29, -27.7625
1599.27, -30.9976
1599.26, -35.9992
1599.25, -37.2871
1599.24, -31.7294
1599.23, -27.847
1599.22, -25.4174
1599.21, -23.9371
1599.2, -23.1454
1599.19, -22.8949
1599.18, -23.1058
1599.17, -23.7585
1599.16, -24.9038
1599.15, -26.6988
1599.14, -29.4987
1599.13, -33.9939
1599.12, -37.8124
1599.1, -32.7303
1599.09, -28.395
1599.08, -25.7293
1599.07, -24.1018
1599.06, -23.1792
1599.05, -22.7837
1599.04, -22.8261
1599.03, -23.2853
1599.02, -24.2089
1599.01, -25.7384
1599, -28.1785
1598.99, -32.1532
1598.98, -37.3859
1598.97, -34.1079
1598.96, -29.2672
1598.94, -26.2986
1598.93, -24.4734
1598.92, -23.3804
1598.91, -22.8136
1598.9, -22.6763
1598.89, -22.9465
1598.88, -23.67
1598.87, -24.9753
1598.86, -27.1247
1598.85, -30.6453
1598.84, -36.1217
1598.83, -35.844
1598.82, -30.5328
1598.81, -27.1656
1598.8, -25.0799
1598.78, -23.7742
1598.77, -23.0103
1598.76, -22.6829
1598.75, -22.7689
1598.74, -23.3129
1598.73, -24.4322
1598.72, -26.3505
1598.71, -29.4956
1598.7, -34.6127
1598.69, -37.5739
1598.68, -32.1846
1598.67, -28.2963
1598.66, -25.8729
1598.65, -24.3071
1598.64, -23.3196
1598.63, -22.7932
1598.61, -22.7033
1598.6, -23.0922
1598.59, -24.0642
1598.58, -25.8015
1598.57, -28.6355
1598.56, -33.2222
1598.55, -38.4497
1598.54, -34.1381
1598.53, -29.5962
1598.52, -26.747
1598.51, -24.8744
1598.5, -23.6434
1598.49, -22.9197
1598.48, -22.674
1598.47, -22.9409
1598.45, -23.8025
1598.44, -25.3924
1598.43, -27.9515
1598.42, -31.9953
1598.41, -37.8822
1598.4, -36.2353
1598.39, -30.9672
