

wavelength(nm), Y
1600, -25.3876
1599.96, -24.8368
1599.93, -24.3536
1599.89, -23.9302
1599.86, -23.5594
1599.82, -23.2348
1599.79, -22.951
1599.75, -22.7039
1599.72, -22.4903
1599.68, -22.3084
1599.64, -22.157
1599.61, -22.0359
1599.57, -21.9451
1599.54, -21.8847
1599.5, -21.8549
1599.47, -21.8559
1599.43, -21.8876
1599.4, -21.95
1599.36, -22.0434
1599.32, -22.1683
1599.29, -22.3261
1599.25, -22.5189
1599.22, -22.7497
1599.18, -23.0224
1599.15, -23.3419
1599.11, -23.7134
1599.08, -24.1424
1599.04, -24.6345
1599.01, -25.1952
1598.97, -25.83
1598.93, -26.5455
1598.9, -27.3501
1598.86, -28.2559
1598.83, -29.2817
1598.79, -30.4569
1598.76, -31.829
1598.72, -33.4774
1598.69, -35.5441
1598.65, -38.3149
1598.61, -42.5039
1598.58, -50.9313
1598.54, -51.9334
1598.51, -42.6218
1598.47, -38.0724
1598.44, -35.0616
1598.4, -32.8197
1598.37, -31.0467
1598.33, -29.5937
1598.3, -28.3751
1598.26, -27.3364
1598.22, -26.44
1598.19, -25.6588
1598.15, -24.9726
1598.12, -24.3664
1598.08, -23.8286
1598.05, -23.3508
1598.01, -22.9265
1597.98, -22.5508
1597.94, -22.2198
1597.9, -21.9301
1597.87, -21.6787
1597.83, -21.4629
1597.8, -21.2798
1597.76, -21.1271
1597.73, -21.0025
1597.69, -20.9046
1597.66, -20.8323
1597.62, -20.7859
1597.59, -20.7664
1597.55, -20.7759
1597.51, -20.817
1597.48, -20.8929
1597.44, -21.007
1597.41, -21.1619
1597.37, -21.3595
1597.34, -21.6007
1597.3, -21.8852
1597.27, -22.212
1597.23, -22.5796
1597.2, -22.9873
1597.16, -23.4351
1597.13, -23.925
1597.09, -24.4618
1597.05, -25.0532
1597.02, -25.7111
1596.98, -26.4525
1596.95, -27.2996
1596.91, -28.2849
1596.88, -29.4548
1596.84, -30.8766
1596.81, -32.6592
1596.77, -34.9998
1596.74, -38.3252
1596.7, -43.8995
1596.66, -57.3534
1596.63, -44.8124
1596.59, -38.6904
1596.56, -35.1179
1596.52, -32.6056
1596.49, -30.678
1596.45, -29.1238
1596.42, -27.8305
