

wavelength(nm), Y
1600, -21.3864
1599.96, -20.4539
1599.93, -19.6304
1599.89, -18.896
1599.86, -18.2353
1599.82, -17.6361
1599.79, -17.0887
1599.75, -16.5854
1599.72, -16.1202
1599.68, -15.6889
1599.64, -15.2884
1599.61, -14.9173
1599.57, -14.5752
1599.54, -14.2622
1599.5, -13.9792
1599.47, -13.7273
1599.43, -13.5075
1599.4, -13.3201
1599.36, -13.1651
1599.32, -13.0412
1599.29, -12.9464
1599.25, -12.8782
1599.22, -12.8331
1599.18, -12.8079
1599.15, -12.7991
1599.11, -12.8038
1599.08, -12.8196
1599.04, -12.845
1599.01, -12.8793
1598.97, -12.923
1598.93, -12.9772
1598.9, -13.0437
1598.86, -13.1253
1598.83, -13.2251
1598.79, -13.3466
1598.76, -13.493
1598.72, -13.6678
1598.69, -13.8736
1598.65, -14.1128
1598.61, -14.3874
1598.58, -14.6987
1598.54, -15.048
1598.51, -15.4369
1598.47, -15.867
1598.44, -16.341
1598.4, -16.8626
1598.37, -17.4371
1598.33, -18.0716
1598.3, -18.7757
1598.26, -19.5621
1598.22, -20.4482
1598.19, -21.4576
1598.15, -22.6236
1598.12, -23.9956
1598.08, -25.6519
1598.05, -27.728
1598.01, -30.4917
1597.98, -34.6039
1597.94, -42.7067
1597.9, -47.3268
1597.87, -36.1365
1597.83, -31.3715
1597.8, -28.3115
1597.76, -26.0578
1597.73, -24.2776
1597.69, -22.8112
1597.66, -21.57
1597.62, -20.4996
1597.59, -19.5643
1597.55, -18.739
1597.51, -18.0054
1597.48, -17.349
1597.44, -16.7582
1597.41, -16.2234
1597.37, -15.7364
1597.34, -15.2901
1597.3, -14.8787
1597.27, -14.4976
1597.23, -14.1433
1597.2, -13.8134
1597.16, -13.5066
1597.13, -13.2226
1597.09, -12.962
1597.05, -12.7259
1597.02, -12.516
1596.98, -12.3338
1596.95, -12.1807
1596.91, -12.0576
1596.88, -11.9646
1596.84, -11.9007
1596.81, -11.8646
1596.77, -11.8537
1596.74, -11.8655
1596.7, -11.897
1596.66, -11.9456
1596.63, -12.0088
1596.59, -12.085
1596.56, -12.1735
1596.52, -12.2741
1596.49, -12.3876
1596.45, -12.5156
1596.42, -12.6604
1596.38, -12.825
1596.35, -13.0125
1596.31, -13.2262
1596.28, -13.4696
1596.24, -13.7458
1596.2, -14.0577
1596.17, -14.4081
1596.13, -14.7994
1596.1, -15.2345
1596.06, -15.7164
1596.03, -16.2492
1595.99, -16.8382
1595.96, -17.4907
1595.92, -18.2163
1595.89, -19.0285
1595.85, -19.9457
1595.82, -20.994
1595.78, -22.2108
1595.74, -23.653
1595.71, -25.4128
1595.67, -27.6551
1595.64, -30.7239
1595.6, -35.5596
1595.57, -47.3399
1595.53, -41.3706
1595.5, -33.5273
1595.46, -29.4641
1595.43, -26.7098
1595.39, -24.6283
1595.36, -22.9591
1595.32, -21.5701
1595.29, -20.3856
1595.25, -19.3584
1595.21, -18.4571
1595.18, -17.66
1595.14, -16.9511
1595.11, -16.3182
1595.07, -15.7513
1595.04, -15.2419
1595, -14.7825
1594.97, -14.3662
1594.93, -13.987
1594.9, -13.6394
1594.86, -13.3187
1594.83, -13.021
1594.79, -12.7435
1594.76, -12.4846
1594.72, -12.2431
1594.68, -12.0192
1594.65, -11.814
1594.61, -11.6291
1594.58, -11.4667
1594.54, -11.3289
1594.51, -11.2179
1594.47, -11.1353
1594.44, -11.082
1594.4, -11.0578
1594.37, -11.0618
1594.33, -11.0925
1594.3, -11.1474
1594.26, -11.224
1594.23, -11.3199
1594.19, -11.4328
1594.15, -11.5612
1594.12, -11.7043
1594.08, -11.8618
1594.05, -12.0346
1594.01, -12.2245
1593.98, -12.4338
1593.94, -12.6656
1593.91, -12.9235
1593.87, -13.2112
1593.84, -13.5328
1593.8, -13.8924
1593.77, -14.2941
1593.73, -14.7423
1593.7, -15.2416
1593.66, -15.7975
1593.63, -16.4166
1593.59, -17.1074
1593.55, -17.8816
1593.52, -18.7545
1593.48, -19.748
1593.45, -20.8934
1593.41, -22.2376
1593.38, -23.8543
1593.34, -25.87
1593.31, -28.5295
1593.27, -32.4149
1593.24, -39.6495
1593.2, -48.996
1593.17, -35.4191
1593.13, -30.3162
1593.1, -27.1315
1593.06, -24.8169
1593.03, -23.0016
1592.99, -21.5109
1592.96, -20.2491
1592.92, -19.1579
1592.89, -18.1998
1592.85, -17.3497
1592.81, -16.5901
1592.78, -15.9083
1592.74, -15.295
1592.71, -14.743
1592.67, -14.2461
1592.64, -13.799
1592.6, -13.3965
1592.57, -13.0336
1592.53, -12.7057
1592.5, -12.4079
1592.46, -12.1363
1592.43, -11.887
1592.39, -11.6571
1592.36, -11.4446
1592.32, -11.2482
1592.29, -11.0677
1592.25, -10.9038
1592.22, -10.7579
1592.18, -10.6322
1592.15, -10.5289
1592.11, -10.4506
1592.08, -10.3995
1592.04, -10.3769
1592, -10.3837
1591.97, -10.4198
1591.93, -10.484
1591.9, -10.5747
1591.86, -10.6896
1591.83, -10.8264
1591.79, -10.9831
1591.76, -11.1579
1591.72, -11.3497
1591.69, -11.5584
1591.65, -11.7845
1591.62, -12.0296
1591.58, -12.2962
1591.55, -12.5874
1591.51, -12.9073
1591.48, -13.26
1591.44, -13.6506
1591.41, -14.0842
1591.37, -14.5664
1591.34, -15.1036
1591.3, -15.7029
1591.27, -16.3731
1591.23, -17.1252
1591.2, -17.974
1591.16, -18.9399
1591.13, -20.0516
1591.09, -21.3524
1591.05, -22.9096
1591.02, -24.8373
1590.98, -27.3513
1590.95, -30.942
1590.91, -37.2161
1590.88, -55.1419
1590.84, -36.0475
1590.81, -30.3381
1590.77, -26.93
1590.74, -24.5008
1590.7, -22.6178
1590.67, -21.0839
1590.63, -19.7929
1590.6, -18.6809
1590.56, -17.7068
1590.53, -16.843
1590.49, -16.0702
1590.46, -15.3749
1590.42, -14.7475
1590.39, -14.181
1590.35, -13.6703
1590.32, -13.2109
1590.28, -12.7992
1590.25, -12.4314
1590.21, -12.1037
1590.18, -11.8119
1590.14, -11.5518
1590.11, -11.3191
1590.07, -11.1098
1590.04, -10.92
1590, -10.7467
1589.97, -10.5877
1589.93, -10.4415
1589.9, -10.3075
1589.86, -10.1864
1589.83, -10.0796
1589.79, -9.98901
1589.75, -9.91742
1589.72, -9.86761
1589.68, -9.84234
1589.65, -9.84397
1589.61, -9.8742
1589.58, -9.93393
1589.54, -10.0232
1589.51, -10.1412
1589.47, -10.2868
1589.44, -10.4582
1589.4, -10.6539
1589.37, -10.8727
1589.33, -11.1138
1589.3, -11.3772
1589.26, -11.6637
1589.23, -11.9752
1589.19, -12.3143
1589.16, -12.6846
1589.12, -13.0904
1589.09, -13.5369
1589.05, -14.0298
1589.02, -14.576
1588.98, -15.1832
1588.95, -15.8608
1588.91, -16.6206
1588.88, -17.4779
1588.84, -18.4536
1588.81, -19.5775
1588.77, -20.894
1588.74, -22.4729
1588.7, -24.4335
1588.67, -27.0039
1588.63, -30.7139
1588.6, -37.3809
1588.56, -51.1328
1588.53, -34.8204
1588.49, -29.3966
1588.46, -26.0896
1588.42, -23.7133
1588.39, -21.8648
1588.35, -20.3576
1588.32, -19.0895
1588.28, -17.9982
1588.25, -17.0431
1588.21, -16.1959
1588.18, -15.437
1588.14, -14.7521
1588.11, -14.131
1588.07, -13.5663
1588.04, -13.0529
1588, -12.587
1587.97, -12.166
1587.93, -11.7876
1587.9, -11.4497
1587.86, -11.1499
1587.83, -10.8855
1587.79, -10.6533
1587.76, -10.45
1587.72, -10.2718
1587.69, -10.1152
1587.65, -9.97696
1587.62, -9.85433
1587.58, -9.74529
1587.55, -9.64881
1587.51, -9.56453
1587.48, -9.49308
1587.44, -9.43594
1587.41, -9.39526
1587.37, -9.37364
1587.34, -9.37386
1587.3, -9.3986
1587.27, -9.45016
1587.23, -9.53023
1587.2, -9.63974
1587.16, -9.77887
1587.13, -9.94716
1587.09, -10.1436
1587.06, -10.3672
1587.02, -10.6168
1586.99, -10.8919
1586.95, -11.1926
1586.92, -11.5196
1586.88, -11.8747
1586.85, -12.2609
1586.81, -12.682
1586.78, -13.1431
1586.74, -13.6504
1586.71, -14.2114
1586.67, -14.835
1586.64, -15.5321
1586.6, -16.3164
1586.57, -17.2055
1586.53, -18.2233
1586.5, -19.4038
1586.46, -20.7982
1586.43, -22.4886
1586.39, -24.62
1586.36, -27.485
1586.32, -31.8311
1586.29, -40.9513
1586.25, -41.7687
1586.22, -32.0905
1586.18, -27.6165
1586.15, -24.6908
1586.11, -22.5233
1586.08, -20.8093
1586.04, -19.3985
1586.01, -18.2047
1585.97, -17.1742
1585.94, -16.2704
1585.9, -15.4675
1585.87, -14.7467
1585.83, -14.0942
1585.8, -13.4995
1585.76, -12.9551
1585.73, -12.4559
1585.69, -11.9981
1585.66, -11.5795
1585.62, -11.1988
1585.59, -10.855
1585.55, -10.5475
1585.52, -10.2756
1585.48, -10.0377
1585.45, -9.83229
1585.41, -9.65679
1585.38, -9.50842
1585.34, -9.38403
1585.31, -9.28049
1585.27, -9.19487
1585.24, -9.12474
1585.2, -9.06828
1585.17, -9.02448
1585.13, -8.99336
1585.1, -8.97547
1585.07, -8.97227
1585.03, -8.98582
1585, -9.01861
1584.96, -9.0733
1584.93, -9.15249
1584.89, -9.25846
1584.86, -9.39302
1584.82, -9.55741
1584.79, -9.75229
1584.75, -9.97785
1584.72, -10.234
1584.68, -10.5208
1584.65, -10.8383
1584.61, -11.1873
1584.58, -11.5692
1584.54, -11.9866
1584.51, -12.443
1584.47, -12.9432
1584.44, -13.4933
1584.4, -14.1014
1584.37, -14.7772
1584.33, -15.5331
1584.3, -16.385
1584.26, -17.3539
1584.23, -18.4691
1584.19, -19.7733
1584.16, -21.3328
1584.12, -23.2598
1584.09, -25.7661
1584.05, -29.3337
1584.02, -35.5292
1583.98, -54.3269
1583.95, -34.6339
1583.91, -28.8471
1583.88, -25.4035
1583.84, -22.951
1583.81, -21.0518
1583.78, -19.5084
1583.74, -18.2147
1583.71, -17.1067
1583.67, -16.1427
1583.64, -15.2936
1583.6, -14.5381
1583.57, -13.8602
1583.53, -13.2474
1583.5, -12.69
1583.46, -12.1806
1583.43, -11.7137
1583.39, -11.2854
1583.36, -10.893
1583.32, -10.535
1583.29, -10.2106
1583.25, -9.91949
1583.22, -9.66147
1583.18, -9.43628
1583.15, -9.24326
1583.11, -9.08119
1583.08, -8.94826
1583.04, -8.84215
1583.01, -8.76012
1582.97, -8.69928
1582.94, -8.6568
1582.9, -8.63019
1582.87, -8.61747
1582.84, -8.61737
1582.8, -8.62941
1582.77, -8.65392
1582.73, -8.69218
1582.7, -8.74587
1582.66, -8.81733
1582.63, -8.90927
1582.59, -9.02452
1582.56, -9.1658
1582.52, -9.33557
1582.49, -9.53587
1582.45, -9.76826
1582.42, -10.0339
1582.38, -10.3338
1582.35, -10.6688
1582.31, -11.0401
1582.28, -11.4492
1582.24, -11.8987
1582.21, -12.3922
1582.17, -12.9346
1582.14, -13.5329
1582.1, -14.1958
1582.07, -14.9349
1582.04, -15.7654
1582, -16.7076
1581.97, -17.7895
1581.93, -19.0513
1581.9, -20.5545
1581.86, -22.4009
1581.83, -24.7773
1581.79, -28.091
1581.76, -33.5517
1581.72, -50.391
1581.69, -35.8053
1581.65, -29.1901
1581.62, -25.4758
1581.58, -22.8885
1581.55, -20.9078
1581.51, -19.3091
1581.48, -17.9753
1581.44, -16.8376
1581.41, -15.8517
1581.37, -14.9876
1581.34, -14.2233
1581.31, -13.5422
1581.27, -12.9311
1581.24, -12.3793
1581.2, -11.8781
1581.17, -11.4205
1581.13, -11.0006
1581.1, -10.6141
1581.06, -10.2579
1581.03, -9.92992
1580.99, -9.62918
1580.96, -9.3554
1580.92, -9.10896
1580.89, -8.89033
1580.85, -8.7001
1580.82, -8.53865
1580.78, -8.40592
1580.75, -8.30129
1580.72, -8.22357
1580.68, -8.17103
1580.65, -8.14162
1580.61, -8.13313
1580.58, -8.14346
1580.54, -8.17081
1580.51, -8.2139
1580.47, -8.2721
1580.44, -8.34546
1580.4, -8.43477
1580.37, -8.54146
1580.33, -8.66762
1580.3, -8.81553
1580.26, -8.98773
1580.23, -9.18684
1580.19, -9.41532
1580.16, -9.67544
1580.13, -9.96925
1580.09, -10.2986
1580.06, -10.6653
1580.02, -11.0714
1579.99, -11.5195
1579.95, -12.0129
1579.92, -12.5564
1579.88, -13.1561
1579.85, -13.8207
1579.81, -14.5614
1579.78, -15.3937
1579.74, -16.3384
1579.71, -17.4244
1579.67, -18.6933
1579.64, -20.2092
1579.61, -22.0777
1579.57, -24.4938
1579.54, -27.8871
1579.5, -33.567
1579.47, -52.5373
1579.43, -34.8352
1579.4, -28.5197
1579.36, -24.9076
1579.33, -22.3752
1579.29, -20.4297
1579.26, -18.8551
1579.22, -17.5377
1579.19, -16.4106
1579.16, -15.4311
1579.12, -14.5705
1579.09, -13.808
1579.05, -13.1283
1579.02, -12.5192
1578.98, -11.9711
1578.95, -11.4757
1578.91, -11.026
1578.88, -10.616
1578.84, -10.2407
1578.81, -9.89601
1578.77, -9.57885
1578.74, -9.28708
1578.71, -9.01947
1578.67, -8.7756
1578.64, -8.55576
1578.6, -8.3607
1578.57, -8.19144
1578.53, -8.0491
1578.5, -7.9344
1578.46, -7.84765
1578.43, -7.78861
1578.39, -7.75644
1578.36, -7.74975
1578.32, -7.76674
1578.29, -7.80541
1578.26, -7.86379
1578.22, -7.94019
1578.19, -8.03335
1578.15, -8.14264
1578.12, -8.2681
1578.08, -8.41051
1578.05, -8.57134
1578.01, -8.75265
1577.98, -8.957
1577.94, -9.18735
1577.91, -9.44684
1577.87, -9.73859
1577.84, -10.0658
1577.81, -10.4317
1577.77, -10.8396
1577.74, -11.2931
1577.7, -11.7965
1577.67, -12.3547
1577.63, -12.9745
1577.6, -13.6646
1577.56, -14.4366
1577.53, -15.3067
1577.49, -16.2969
1577.46, -17.4388
1577.43, -18.7792
1577.39, -20.3913
1577.36, -22.4002
1577.32, -25.0467
1577.29, -28.9006
1577.25, -36.0127
1577.22, -46.3073
1577.18, -32.1765
1577.15, -27.0132
1577.11, -23.8097
1577.08, -21.4886
1577.05, -19.6723
1577.01, -18.184
1576.98, -16.9268
1576.94, -15.8422
1576.91, -14.8925
1576.87, -14.0521
1576.84, -13.303
1576.8, -12.632
1576.77, -12.0291
1576.73, -11.4864
1576.7, -10.9972
1576.67, -10.5555
1576.63, -10.1563
1576.6, -9.7948
1576.56, -9.46675
1576.53, -9.1685
1576.49, -8.897
1576.46, -8.6499
1576.42, -8.42554
1576.39, -8.22304
1576.35, -8.04216
