f,neff(real),neff(imag),loss,beta(real),beta(imag),overlap,vg,D
1.998616386667e+14,2.520273211722e+00,1.296884244136e-09,4.718501856984e-02,1.055689574265e+07,5.432376018579e-03,9.999999777172e-01,7.168971390347e+07,4.361011666830e-04
1.984737106204e+14,2.508649355534e+00,1.286492316494e-09,4.648187713542e-02,1.043523219598e+07,5.351423869320e-03,9.999999770272e-01,7.166631312105e+07,4.252426264205e-04
1.970857825741e+14,2.496852014910e+00,1.276163752638e-09,4.578626036623e-02,1.031352830087e+07,5.271338029161e-03,9.999999762966e-01,7.164220687725e+07,4.380698642336e-04
1.956978545278e+14,2.484877224445e+00,1.265899159950e-09,4.509814187146e-02,1.019178293248e+07,5.192115459747e-03,9.999999755221e-01,7.161751536210e+07,4.485753857475e-04
1.943099264815e+14,2.472720958557e+00,1.255699244948e-09,4.441749815337e-02,1.006999518231e+07,5.113753455802e-03,9.999999747004e-01,7.159237551404e+07,4.410781377225e-04
1.929219984352e+14,2.460379136473e+00,1.245564818110e-09,4.374430865111e-02,9.948164387095e+06,5.036249650169e-03,9.999999738276e-01,7.156694283228e+07,4.500231581538e-04
1.915340703889e+14,2.447847627583e+00,1.235496807889e-09,4.307855609824e-02,9.826290158345e+06,4.959602054976e-03,9.999999728996e-01,7.154139191047e+07,4.320475819370e-04
1.901461423426e+14,2.435122258687e+00,1.225496265414e-09,4.242022653639e-02,9.704372418446e+06,4.883809063206e-03,9.999999719119e-01,7.151590534887e+07,4.224437909450e-04
1.887582142963e+14,2.422198822004e+00,1.215564379321e-09,4.176930966993e-02,9.582411438564e+06,4.808869489531e-03,9.999999708597e-01,7.149070499158e+07,4.258154660866e-04
1.873702862500e+14,2.409073084781e+00,1.205702487993e-09,4.112579910966e-02,9.460407881386e+06,4.734782598369e-03,9.999999697376e-01,7.146604279914e+07,3.959344561925e-04

